timestamp_ms,request_type,backend_selected,response_time_ms
1760426894695,GET,4,2.85062
1760426894701,PUT,4,9.0095
1760426894734,GET,4,15.6225
1760426894741,PUT,4,49.6178
1760426894748,GET,4,55.9115
1760426894816,PUT,4,123.181
1760426894818,PUT,4,46.6574
1760426894837,GET,4,8.80054
1760426894838,PUT,4,6.9035
1760426894855,PUT,4,0.80275
1760426894873,PUT,4,6.61079
1760426894894,PUT,4,8.21054
1760426894978,PUT,4,226.853
1760426895048,PUT,4,56.9213
1760426895068,GET,4,218.896
1760426895081,GET,4,21.9859
1760426895123,PUT,4,24.0029
1760426895173,GET,4,36.5037
1760426895210,PUT,4,14.853
1760426895318,GET,4,97.4188
1760426895353,GET,4,234.216
1760426895393,PUT,4,0.751292
1760426895423,GET,4,78.6622
1760426895423,PUT,4,16.8877
1760426895528,GET,4,91.8153
1760426895548,GET,4,856.087
1760426895552,GET,4,860.717
1760426895837,PUT,4,1138.73
1760426895868,GET,4,18.005
1760426895885,GET,4,331.638
1760426896021,GET,4,24.1249
1760426896030,PUT,4,54.0141
1760426896049,GET,4,10.1485
1760426896063,PUT,4,0.676667
1760426896151,GET,4,206.536
1760426896181,GET,4,733.858
1760426896243,PUT,4,53.0164
1760426896257,PUT,4,0.863625
1760426896335,PUT,4,441.199
1760426896354,PUT,4,11.1249
1760426896422,PUT,4,55.0447
1760426896737,PUT,4,2018.8
1760426896745,PUT,4,311.569
1760426896751,GET,4,0.617667
1760426896801,PUT,4,42.5983
1760426896880,PUT,4,117.05
1760426896895,PUT,4,0.930333
1760426896955,GET,4,46.5651
1760426897011,GET,4,33.6538
1760426897038,PUT,4,6.34558
1760426897315,PUT,4,264.992
1760426897349,PUT,4,16.0691
1760426897400,PUT,4,33.0651
1760426897676,PUT,4,251.124
1760426897695,PUT,4,6.48867
1760426898174,GET,4,2099.83
1760426898197,GET,4,2155.83
1760426898279,PUT,4,567.715
1760426898318,PUT,4,26.3738
1760426898346,PUT,4,14.6531
1760426898466,GET,4,2119.85
1760426898883,GET,4,3975.28
1760426899402,PUT,4,4639.82
1760426899498,GET,4,1138.31
1760426899587,PUT,4,2767.69
1760426899589,PUT,4,420.131
1760426899590,GET,4,369.587
1760426899596,PUT,2,4.18983
1760426899606,PUT,2,3.91921
1760426899610,PUT,2,9.68142
1760426899620,PUT,2,18.2875
1760426899623,PUT,2,13.9923
1760426899623,GET,2,6.89275
1760426899636,PUT,2,0.521625
1760426899638,GET,2,4.50754
1760426899659,PUT,2,3.35596
1760426899686,PUT,2,36.5317
1760426899693,GET,2,70.3129
1760426899747,GET,2,110.845
1760426900061,GET,2,362.716
1760426900072,GET,2,193.609
1760426900284,GET,2,364.533
1760426900291,GET,2,0.460375
1760426900366,GET,2,694.664
1760426900370,PUT,4,4086.6
1760426900383,GET,2,0.365125
1760426900391,PUT,4,1055.01
1760426900450,GET,2,54.7845
1760426900521,GET,4,1105.85
1760426900544,GET,2,140.196
1760426900562,GET,2,29.8526
1760426900607,GET,2,223.549
1760426900654,PUT,2,235.036
1760426900654,PUT,2,52.4038
1760426900662,GET,2,37.8361
1760426900671,GET,2,25.5683
1760426900689,GET,3,5.16437
1760426900707,GET,3,40.568
1760426900721,GET,3,29.1105
1760426900735,PUT,3,25.9024
1760426900750,GET,3,4.20542
1760426900779,GET,3,22.0147
1760426900780,GET,3,17.0656
1760426900810,PUT,3,0.584583
1760426900830,GET,3,7.08571
1760426900914,GET,3,76.4532
1760426900929,PUT,3,235.254
1760426900933,GET,2,417.175
1760426900937,PUT,3,92.2216
1760426900946,GET,3,3.54608
1760426901009,PUT,3,59.2058
1760426901041,GET,3,78.5691
1760426901048,GET,3,26.267
1760426901103,PUT,3,131.894
1760426901128,GET,3,13.7532
1760426901129,PUT,3,6.81729
1760426901146,GET,3,3.97708
1760426901152,PUT,3,1.11
1760426901212,GET,3,22.4528
1760426901328,GET,3,165.854
1760426901334,PUT,3,252.641
1760426901377,GET,3,215.034
1760426901392,PUT,3,8.96329
1760426901401,GET,3,172.149
1760426901414,GET,3,9.05513
1760426901466,GET,3,702.644
1760426901479,GET,3,0.749333
1760426901495,GET,3,2.58129
1760426901510,GET,3,3.59737
1760426901527,PUT,3,16.8639
1760426901541,PUT,3,1.11079
1760426901555,PUT,3,1.17596
1760426901571,GET,3,2.70871
1760426901587,GET,3,0.770417
1760426901651,GET,3,214.819
1760426901883,GET,3,0.35675
1760426901896,GET,3,0.342083
1760426901910,PUT,3,1.26562
1760426902245,PUT,3,716.404
1760426902248,PUT,3,324.852
1760426902315,PUT,3,424.473
1760426902347,PUT,3,88.0888
1760426902353,GET,3,25.7225
1760426902360,PUT,3,0.378416
1760426902458,GET,3,85.2302
1760426902542,PUT,3,0.376625
1760426902763,PUT,3,388.846
1760426902777,PUT,1,1.19467
1760426902792,PUT,1,1.92075
1760426903282,PUT,1,724.019
1760426903442,PUT,1,636.067
1760426903445,PUT,1,150.262
1760426903456,PUT,1,0.3785
1760426903478,GET,1,9.39092
1760426903529,PUT,1,70.782
1760426903585,GET,1,43.1076
1760426903883,GET,1,384.432
1760426904212,PUT,1,4.544
1760426904260,GET,1,34.4905
1760426904306,GET,1,0.616208
