timestamp_ms,backend_id,ip,port,rtt_ms,status
1760426891676,1,127.0.0.1,9001,0.432458,OK
1760426891676,2,127.0.0.1,9002,0.218708,OK
1760426891676,3,127.0.0.1,9003,0.2225,OK
1760426891677,4,127.0.0.1,9004,0.204709,OK
1760426892721,1,127.0.0.1,9001,0.837875,OK
1760426892722,2,127.0.0.1,9002,0.368334,OK
1760426892722,3,127.0.0.1,9003,0.341333,OK
1760426892723,4,127.0.0.1,9004,0.258291,OK
1760426893773,1,127.0.0.1,9001,0.8185,OK
1760426893773,2,127.0.0.1,9002,0.338917,OK
1760426893774,3,127.0.0.1,9003,0.396417,OK
1760426893774,4,127.0.0.1,9004,0.283,OK
1760426894822,1,127.0.0.1,9001,0.252541,OK
1760426894822,2,127.0.0.1,9002,0.225541,OK
1760426894822,3,127.0.0.1,9003,0.214667,OK
1760426894823,4,127.0.0.1,9004,0.215458,OK
1760426895868,1,127.0.0.1,9001,12.7587,OK
1760426895873,2,127.0.0.1,9002,4.3755,OK
1760426895874,3,127.0.0.1,9003,1.09054,OK
1760426895875,4,127.0.0.1,9004,1.13329,OK
1760426896915,1,127.0.0.1,9001,6.19892,OK
1760426896920,2,127.0.0.1,9002,5.33613,OK
1760426896923,3,127.0.0.1,9003,2.12833,OK
1760426896923,4,127.0.0.1,9004,0.210375,OK
1760426897972,1,127.0.0.1,9001,6.90004,OK
1760426897974,2,127.0.0.1,9002,2.17738,OK
1760426897982,3,127.0.0.1,9003,7.89192,OK
1760426897984,4,127.0.0.1,9004,2.30063,OK
1760426899032,1,127.0.0.1,9001,0.373875,OK
1760426899032,2,127.0.0.1,9002,0.23725,OK
1760426899032,3,127.0.0.1,9003,0.253959,OK
1760426899587,4,127.0.0.1,9004,554.703,OK
1760426900628,1,127.0.0.1,9001,0.271541,OK
1760426900655,2,127.0.0.1,9002,26.4324,OK
1760426900655,3,127.0.0.1,9003,0.207917,OK
1760426900655,4,127.0.0.1,9004,0.216416,OK
1760426901705,1,127.0.0.1,9001,0.235917,OK
1760426901705,2,127.0.0.1,9002,0.203542,OK
1760426901705,3,127.0.0.1,9003,0.219625,OK
1760426901706,4,127.0.0.1,9004,0.193792,OK
1760426902756,1,127.0.0.1,9001,0.354583,OK
1760426902756,2,127.0.0.1,9002,0.226917,OK
1760426902763,3,127.0.0.1,9003,6.71171,OK
1760426902763,4,127.0.0.1,9004,0.267042,OK
1760426903814,1,127.0.0.1,9001,0.295375,OK
1760426903814,2,127.0.0.1,9002,0.230708,OK
1760426903814,3,127.0.0.1,9003,0.226708,OK
1760426903815,4,127.0.0.1,9004,0.287959,OK
1760426904866,1,127.0.0.1,9001,0.745125,OK
1760426904866,2,127.0.0.1,9002,0.363125,OK
1760426904867,3,127.0.0.1,9003,0.3415,OK
1760426904867,4,127.0.0.1,9004,0.369,OK
1760426905917,1,127.0.0.1,9001,0.828875,OK
1760426905918,2,127.0.0.1,9002,0.341667,OK
1760426905918,3,127.0.0.1,9003,0.376459,OK
1760426905919,4,127.0.0.1,9004,0.290958,OK
1760426906965,1,127.0.0.1,9001,0.806459,OK
1760426906965,2,127.0.0.1,9002,0.362917,OK
1760426906966,3,127.0.0.1,9003,0.350042,OK
1760426906966,4,127.0.0.1,9004,0.313083,OK
1760426908003,1,127.0.0.1,9001,0.718875,OK
1760426908003,2,127.0.0.1,9002,0.410833,OK
1760426908004,3,127.0.0.1,9003,0.35275,OK
1760426908004,4,127.0.0.1,9004,0.360417,OK
1760426909049,1,127.0.0.1,9001,0.760708,OK
1760426909049,2,127.0.0.1,9002,0.441166,OK
1760426909050,3,127.0.0.1,9003,0.352833,OK
1760426909050,4,127.0.0.1,9004,0.293292,OK
