timestamp_ms,backend_id,ip,port,rtt_ms,status
1760426864872,1,127.0.0.1,9001,0.480208,OK
1760426864873,2,127.0.0.1,9002,0.294833,OK
1760426864873,3,127.0.0.1,9003,0.267,OK
1760426864873,4,127.0.0.1,9004,0.26625,OK
1760426865923,1,127.0.0.1,9001,0.819917,OK
1760426865923,2,127.0.0.1,9002,0.386,OK
1760426865924,3,127.0.0.1,9003,0.335125,OK
1760426865924,4,127.0.0.1,9004,0.281167,OK
1760426866974,1,127.0.0.1,9001,0.799958,OK
1760426866974,2,127.0.0.1,9002,0.3545,OK
1760426866975,3,127.0.0.1,9003,0.322667,OK
1760426866975,4,127.0.0.1,9004,0.324625,OK
1760426868024,1,127.0.0.1,9001,1.45408,OK
1760426868024,2,127.0.0.1,9002,0.416375,OK
1760426868025,3,127.0.0.1,9003,0.268709,OK
1760426868025,4,127.0.0.1,9004,0.231916,OK
1760426869078,1,127.0.0.1,9001,3.41983,OK
1760426869079,2,127.0.0.1,9002,0.728209,OK
1760426869079,3,127.0.0.1,9003,0.237459,OK
1760426869080,4,127.0.0.1,9004,0.268292,OK
1760426870136,1,127.0.0.1,9001,0.822125,OK
1760426870146,2,127.0.0.1,9002,9.81938,OK
1760426870156,3,127.0.0.1,9003,9.67725,OK
1760426870156,4,127.0.0.1,9004,0.243875,OK
1760426871220,1,127.0.0.1,9001,8.96375,OK
1760426871221,2,127.0.0.1,9002,1.23533,OK
1760426871230,3,127.0.0.1,9003,8.99358,OK
1760426871231,4,127.0.0.1,9004,1.08079,OK
1760426872279,1,127.0.0.1,9001,0.297083,OK
1760426872280,2,127.0.0.1,9002,0.266709,OK
1760426873698,3,127.0.0.1,9003,1418.47,OK
1760426873699,4,127.0.0.1,9004,0.92825,OK
1760426874732,1,127.0.0.1,9001,0.258708,OK
1760426874733,2,127.0.0.1,9002,0.285458,OK
1760426875520,3,127.0.0.1,9003,787.05,OK
1760426875520,4,127.0.0.1,9004,0.390833,OK
1760426876549,1,127.0.0.1,9001,0.268167,OK
1760426876549,2,127.0.0.1,9002,0.208333,OK
1760426876549,3,127.0.0.1,9003,0.198416,OK
1760426876550,4,127.0.0.1,9004,0.189375,OK
1760426877603,1,127.0.0.1,9001,7.42679,OK
1760426877605,2,127.0.0.1,9002,2.45983,OK
1760426877613,3,127.0.0.1,9003,7.50288,OK
1760426877616,4,127.0.0.1,9004,3.50717,OK
1760426878660,1,127.0.0.1,9001,4.59296,OK
1760426878663,2,127.0.0.1,9002,3.35954,OK
1760426878670,3,127.0.0.1,9003,6.73675,OK
1760426878673,4,127.0.0.1,9004,3.27246,OK
1760426879717,1,127.0.0.1,9001,3.13608,OK
1760426879727,2,127.0.0.1,9002,9.71458,OK
1760426879729,3,127.0.0.1,9003,1.35592,OK
1760426879729,4,127.0.0.1,9004,0.36975,OK
1760426880811,1,127.0.0.1,9001,39.671,OK
1760426880812,2,127.0.0.1,9002,0.197541,OK
1760426881418,3,127.0.0.1,9003,606.43,OK
1760426881420,4,127.0.0.1,9004,2.27046,OK
1760426882707,1,127.0.0.1,9001,242.484,OK
1760426882708,2,127.0.0.1,9002,0.479542,OK
1760426882708,3,127.0.0.1,9003,0.242167,OK
1760426882709,4,127.0.0.1,9004,0.233459,OK
1760426883758,1,127.0.0.1,9001,0.276834,OK
1760426883758,2,127.0.0.1,9002,0.194542,OK
1760426883758,3,127.0.0.1,9003,0.219167,OK
1760426883758,4,127.0.0.1,9004,0.204542,OK
1760426884810,1,127.0.0.1,9001,0.775583,OK
1760426884810,2,127.0.0.1,9002,0.359709,OK
1760426884811,3,127.0.0.1,9003,0.353584,OK
1760426884811,4,127.0.0.1,9004,0.312625,OK
1760426885859,1,127.0.0.1,9001,0.806333,OK
1760426885859,2,127.0.0.1,9002,0.355833,OK
1760426885860,3,127.0.0.1,9003,0.360375,OK
1760426885860,4,127.0.0.1,9004,0.341875,OK
1760426886908,1,127.0.0.1,9001,0.769292,OK
1760426886909,2,127.0.0.1,9002,0.342667,OK
1760426886909,3,127.0.0.1,9003,0.357958,OK
1760426886910,4,127.0.0.1,9004,0.376958,OK
1760426887958,1,127.0.0.1,9001,0.796708,OK
1760426887959,2,127.0.0.1,9002,0.368291,OK
1760426887959,3,127.0.0.1,9003,0.378083,OK
1760426887960,4,127.0.0.1,9004,0.365584,OK
1760426889011,1,127.0.0.1,9001,0.811459,OK
1760426889012,2,127.0.0.1,9002,0.391083,OK
1760426889012,3,127.0.0.1,9003,0.363833,OK
1760426889012,4,127.0.0.1,9004,0.380166,OK
